"Country","co","co2","unit"
"Afghanistan","9.067 million Mt(2017 est.)","9.067","6"
"Albania","4.5 million Mt(2017 est.)","4.5","6"
"Algeria","135.9 million Mt(2017 est.)","135.9","6"
"American Samoa","361100 Mt(2017 est.)","361100","0(2017"
"Angola","20.95 million Mt(2017 est.)","20.95","6"
"Antigua and Barbuda","740300 Mt(2017 est.)","740300","0(2017"
"Argentina","203.7 million Mt(2017 est.)","203.7","6"
"Armenia","5.501 million Mt(2017 est.)","5.501","6"
"Aruba","1.266 million Mt(2017 est.)","1.266","6"
"Australia","439.1 million Mt(2017 est.)","439.1","6"
"Austria","63.93 million Mt(2017 est.)","63.93","6"
"Azerbaijan","35.6 million Mt(2017 est.)","35.6","6"
"Bahamas, The","3.089 million Mt(2017 est.)","3.089","6"
"Bahrain","37.98 million Mt(2017 est.)","37.98","6"
"Bangladesh","79.97 million Mt(2017 est.)","79.97","6"
"Barbados","1.76 million Mt(2017 est.)","1.76","6"
"Belarus","56.07 million Mt(2017 est.)","56.07","6"
"Belgium","134.7 million Mt(2017 est.)","134.7","6"
"Belize","556700 Mt(2017 est.)","556700","0(2017"
"Benin","5.664 million Mt(2017 est.)","5.664","6"
"Bermuda","793700 Mt(2017 est.)","793700","0(2017"
"Bhutan","604900 Mt(2017 est.)","604900","0(2017"
"Bolivia","17.66 million Mt(2017 est.)","17.66","6"
"Bosnia and Herzegovina","22.07 million Mt(2017 est.)","22.07","6"
"Botswana","6.235 million Mt(2017 est.)","6.235","6"
"Brazil","513.8 million Mt(2017 est.)","513.8","6"
"British Virgin Islands","183300 Mt(2017 est.)","183300","0(2017"
"Brunei","10.04 million Mt(2017 est.)","10.04","6"
"Bulgaria","46.31 million Mt(2017 est.)","46.31","6"
"Burkina Faso","3.421 million Mt(2017 est.)","3.421","6"
"Burma","27.01 million Mt(2017 est.)","27.01","6"
"Burundi","217000 Mt(2017 est.)","217000","0(2017"
"Cabo Verde","867800 Mt(2017 est.)","867800","0(2017"
"Cambodia","10.55 million Mt(2017 est.)","10.55","6"
"Cameroon","7.672 million Mt(2017 est.)","7.672","6"
"Canada","640.6 million Mt(2017 est.)","640.6","6"
"Cayman Islands","643800 Mt(2017 est.)","643800","0(2017"
"Central African Republic","413800 Mt(2017 est.)","413800","0(2017"
"Chad","342200 Mt(2017 est.)","342200","0(2017"
"Chile","88.23 million Mt(2017 est.)","88.23","6"
"China","11.67 billion Mt(2017 est.)","11.67","billion"
"Colombia","95.59 million Mt(2017 est.)","95.59","6"
"Comoros","193600 Mt(2017 est.)","193600","0(2017"
"Congo, Democratic Republic of the","3.146 million Mt(2017 est.)","3.146","6"
"Congo, Republic of the","5.239 million Mt(2017 est.)","5.239","6"
"Cook Islands","88810 Mt(2017 est.)","88810","0(2017"
"Costa Rica","7.653 million Mt(2017 est.)","7.653","6"
"Cote d'Ivoire","11.54 million Mt(2017 est.)","11.54","6"
"Croatia","17.96 million Mt(2017 est.)","17.96","6"
"Cuba","26.94 million Mt(2017 est.)","26.94","6"
"Cyprus","7.72 million Mt(2017 est.)","7.72","6"
"Czechia","115.8 million Mt(2017 est.)","115.8","6"
"Denmark","37.45 million Mt(2017 est.)","37.45","6"
"Djibouti","950200 Mt(2017 est.)","950200","0(2017"
"Dominica","199600 Mt(2017 est.)","199600","0(2017"
"Dominican Republic","23.79 million Mt(2017 est.)","23.79","6"
"Ecuador","37.54 million Mt(2017 est.)","37.54","6"
"Egypt","232.7 million Mt(2017 est.)","232.7","6"
"El Salvador","7.331 million Mt(2017 est.)","7.331","6"
"Equatorial Guinea","3.062 million Mt(2017 est.)","3.062","6"
"Eritrea","597100 Mt(2017 est.)","597100","0(2017"
"Estonia","5.306 million Mt(2017 est.)","5.306","6"
"Eswatini","1.14 million Mt(2017 est.)","1.14","6"
"Ethiopia","12.18 million Mt(2017 est.)","12.18","6"
"European Union","3.475 billion Mt(2015 est.)","3.475","billion"
"Falkland Islands (Islas Malvinas)","44070 Mt(2017 est.)","44070","0(2017"
"Faroe Islands","739300 Mt(2017 est.)","739300","0(2017"
"Fiji","2.369 million Mt(2017 est.)","2.369","6"
"Finland","46.01 million Mt(2017 est.)","46.01","6"
"France","341.2 million Mt(2017 est.)","341.2","6"
"French Polynesia","1.03 million Mt(2017 est.)","1.03","6"
"Gabon","4.293 million Mt(2017 est.)","4.293","6"
"Gambia, The","607300 Mt(2017 est.)","607300","0(2017"
"Georgia","9.912 million Mt(2017 est.)","9.912","6"
"Germany","847.6 million Mt(2017 est.)","847.6","6"
"Ghana","13.67 million Mt(2017 est.)","13.67","6"
"Gibraltar","13.34 million Mt(2017 est.)","13.34","6"
"Greece","69.37 million Mt(2017 est.)","69.37","6"
"Greenland","613800 Mt(2017 est.)","613800","0(2017"
"Grenada","283600 Mt(2017 est.)","283600","0(2017"
"Guam","2.214 million Mt(2017 est.)","2.214","6"
"Guatemala","17.15 million Mt(2017 est.)","17.15","6"
"Guinea","2.794 million Mt(2017 est.)","2.794","6"
"Guinea-Bissau","397900 Mt(2017 est.)","397900","0(2017"
"Guyana","2.131 million Mt(2017 est.)","2.131","6"
"Haiti","3.595 million Mt(2017 est.)","3.595","6"
"Honduras","9.436 million Mt(2017 est.)","9.436","6"
"Hong Kong","102.5 million Mt(2017 est.)","102.5","6"
"Hungary","51.28 million Mt(2017 est.)","51.28","6"
"Iceland","3.228 million Mt(2017 est.)","3.228","6"
"India","2.383 billion Mt(2017 est.)","2.383","billion"
"Indonesia","540.7 million Mt(2017 est.)","540.7","6"
"Iran","638.3 million Mt(2017 est.)","638.3","6"
"Iraq","117.9 million Mt(2017 est.)","117.9","6"
"Ireland","36.91 million Mt(2017 est.)","36.91","6"
"Israel","73.82 million Mt(2017 est.)","73.82","6"
"Italy","351 million Mt(2017 est.)","351","6"
"Jamaica","8.9 million Mt(2017 est.)","8.9","6"
"Japan","1.268 billion Mt(2017 est.)","1.268","billion"
"Jersey","450000 Mt(2012 est.)","450000","0(2012"
"Jordan","27.39 million Mt(2017 est.)","27.39","6"
"Kazakhstan","304.6 million Mt(2017 est.)","304.6","6"
"Kenya","17.98 million Mt(2017 est.)","17.98","6"
